1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
2171	-0.252726	52.022785	0.769605	0.066654	1.5
2172	-0.306248	53.022785	0.759208	0.025913	1.2
2173	-0.256963	54.000983	0.749306	0.037075	1.5
2174	-0.271236	53.050583	0.758923	0.064095	1.4
2175	-0.271410	52.101282	0.768778	0.030138	1.5
2176	-0.325866	51.150576	0.778908	0.025773	1.4
2177	-0.269268	50.200580	0.789301	0.015915	1.3
2178	-0.250356	51.198883	0.778387	0.079694	1.4
2179	-0.299971	52.198882	0.767753	0.020974	1.3
2180	-0.297718	53.198879	0.757406	0.038740	1.6
2181	-0.265970	54.198878	0.747334	0.044409	1.4
2182	-0.278308	53.248182	0.756903	0.035545	1.6
2183	-0.296259	54.248182	0.746844	0.014145	3.9
2184	-0.269698	53.340129	0.755967	0.013640	1.4
2185	-0.325348	52.480037	0.764816	0.028040	1.5
2186	-0.307963	53.355758	0.755808	0.060508	1.7
2187	-0.289332	52.405164	0.765596	0.040981	1.5
2188	-0.253415	53.405164	0.755306	0.053125	1.2
2189	-0.267916	52.454459	0.765082	0.084948	1.3
2190	-0.286192	53.454459	0.754806	0.036758	1.3
2191	-0.235983	54.454459	0.744803	0.028004	1.3
2192	-0.282338	53.573677	0.753599	0.048131	1.4
2193	-0.276723	54.570094	0.743663	0.017934	1.5
2194	-0.271439	55.563738	0.734012	0.034450	1.6
2195	-0.278335	54.613737	0.743234	0.009710	1.7
2196	-0.307569	55.552806	0.734116	0.035589	1.4
2197	-0.294198	54.782224	0.741581	0.034665	1.4
2198	-0.300938	55.782222	0.731923	0.020538	1.6
2199	-0.272222	56.782216	0.722513	0.013606	1.3
2200	-0.301235	57.768425	0.713467	0.014776	1.3
2201	-0.283321	56.938984	0.721060	0.016755	1.8
2202	-0.262483	56.015091	0.729710	0.053312	1.7
2203	-0.259092	56.972543	0.720750	0.059385	2.6
2204	-0.275979	57.972543	0.711623	0.032114	1.3
2205	-0.311521	57.021838	0.720294	0.010218	1.5
2206	-0.297783	57.950252	0.711824	0.042268	1.3
2207	-0.302902	57.073959	0.719813	0.016660	1.3
2208	-0.281835	56.123921	0.728680	0.011380	1.6
2209	-0.280759	55.637149	0.733308	0.036848	1.2
2210	-0.283239	56.631909	0.723912	0.034459	1.5
2211	-0.263643	57.631909	0.714706	0.042556	1.5
2212	-0.290633	56.681204	0.723453	0.016254	1.4
2213	-0.283772	56.056309	0.729320	0.039832	1.6
2214	-0.314434	57.055757	0.719981	0.011040	1.5
2215	-0.268925	58.042642	0.710992	0.075994	1.3
2216	-0.322993	57.091941	0.719648	0.053571	1.4
