1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.178477	0.000000	9.027265	0.006290	297.7
1	-0.179355	0.000000	9.027265	0.010449	3.6
2	-0.177740	0.000000	9.027265	0.008137	2.7
3	-0.182761	0.000000	9.027265	0.018057	1.6
4	-0.178788	0.000000	9.027265	0.009023	1.6
5	-0.176354	1.000000	8.616935	0.004243	1.5
6	-0.204499	0.063686	8.999972	0.003281	1.5
7	-0.155582	0.000000	9.027265	0.013096	1.5
8	-0.190287	0.999143	8.617271	0.003884	1.4
9	-0.165487	0.069736	8.997387	0.018932	1.4
10	-0.158738	0.000000	9.027265	0.013118	1.5
11	-0.171476	0.000000	9.027265	0.014177	1.8
12	-0.194853	0.000000	9.027265	0.007833	1.6
13	-0.187044	1.000000	8.616935	0.005635	1.6
14	-0.174973	1.990391	8.245731	0.009218	1.5
15	-0.188116	2.988256	7.902724	0.016411	1.7
16	-0.179244	3.988256	7.586467	0.003874	1.6
17	-0.180889	3.096153	7.867338	0.009363	1.8
18	-0.178239	3.879597	7.619600	0.011977	1.6
19	-0.168715	2.936064	7.919956	0.013964	1.8
20	-0.189475	3.936064	7.602345	0.007398	3.4
21	-0.176738	2.992532	7.901316	0.009147	1.5
22	-0.167808	2.049026	8.224754	0.009009	1.6
23	-0.162172	3.042241	7.884979	0.028702	1.4
24	-0.158453	2.098708	8.207064	0.017104	1.4
25	-0.181806	1.364323	8.476562	0.006092	1.5
26	-0.161538	0.420790	8.849934	0.006735	1.4
27	-0.172376	1.412435	8.458366	0.018479	1.4
28	-0.194684	0.468904	8.830100	0.007276	1.4
29	-0.156043	1.468904	8.437108	0.007483	1.8
30	-0.163325	2.468659	8.077691	0.005683	1.7
31	-0.183025	1.532223	8.413399	0.010829	1.4
32	-0.166005	2.504449	8.065391	0.019559	1.4
33	-0.164826	3.480250	7.743899	0.005018	1.5
34	-0.182498	2.536719	8.054333	0.006281	1.4
35	-0.179353	1.602587	8.387207	0.008313	1.4
