1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.238826	0.000000	1.878505	0.012640	278.0
1	-0.192428	0.000000	1.878505	0.007171	1.5
2	-0.183461	0.000000	1.878505	0.008878	1.4
3	-0.233320	0.000000	1.878505	0.003405	1.4
4	-0.211252	0.390682	1.844196	0.009831	1.4
5	-0.208668	0.221868	1.858866	0.013141	1.2
6	-0.194587	0.467676	1.837582	0.013599	1.3
7	-0.220627	0.000000	1.878505	0.033268	1.4
8	-0.207193	0.997051	1.793359	0.023717	1.3
9	-0.225188	0.019923	1.876725	0.026982	1.3
10	-0.224327	0.000000	1.878505	0.025231	1.4
11	-0.213348	0.000000	1.878505	0.006669	3.2
12	-0.202593	0.086847	1.870769	0.016080	2.0
13	-0.206671	0.376150	1.845450	0.008673	1.4
14	-0.196455	0.957862	1.796560	0.020923	1.2
15	-0.232094	0.307065	1.851433	0.014681	1.3
16	-0.204094	1.289869	1.769800	0.024383	1.3
17	-0.187917	0.312618	1.850951	0.014650	1.3
18	-0.205512	0.000000	1.878505	0.008331	1.4
19	-0.226361	0.000000	1.878505	0.018978	1.2
20	-0.229813	0.347733	1.847906	0.012380	1.2
21	-0.210520	0.000000	1.878505	0.024876	1.3
22	-0.234515	0.995381	1.793495	0.010314	1.4
23	-0.221078	1.592181	1.746118	0.018531	1.3
24	-0.204477	2.132425	1.705338	0.018577	1.2
25	-0.202913	1.325232	1.766997	0.003791	1.2
26	-0.189950	1.972114	1.717239	0.005617	1.4
27	-0.191041	2.122952	1.706037	0.025434	1.6
28	-0.216057	1.454552	1.756820	0.006654	1.2
29	-0.189915	2.153897	1.703757	0.016970	1.3
30	-0.215907	1.430297	1.758720	0.022680	1.5
31	-0.222186	2.430243	1.683662	0.024169	2.0
32	-0.235886	3.429640	1.614785	0.017424	3.2
33	-0.206182	3.130555	1.634799	0.013710	1.7
34	-0.212439	2.165190	1.702926	0.012097	1.5
35	-0.228046	1.457978	1.756552	0.015491	1.6
36	-0.196315	0.581012	1.827932	0.009726	1.4
37	-0.219154	1.537301	1.750370	0.011052	1.5
38	-0.213444	1.420720	1.759471	0.015297	1.5
39	-0.198902	0.661377	1.821150	0.017467	1.6
40	-0.236194	1.656920	1.741129	0.036991	1.4
41	-0.225823	0.679513	1.819626	0.025243	1.8
42	-0.191562	1.679513	1.739394	0.004416	1.5
43	-0.196935	2.595753	1.671852	0.014666	1.3
44	-0.211734	3.313807	1.622478	0.011142	1.5
45	-0.219762	4.101580	1.571559	0.017907	1.4
46	-0.194045	3.163433	1.632575	0.010402	1.4
47	-0.179595	2.207533	1.699819	0.027813	1.5
48	-0.219934	3.193988	1.630513	0.009083	1.4
49	-0.205473	4.173115	1.567093	0.015432	1.4
50	-0.221138	4.345526	1.556433	0.023558	2.8
51	-0.215049	5.224757	1.504251	0.008337	1.5
52	-0.214389	4.474877	1.548530	0.024960	1.5
53	-0.228824	3.505159	1.609809	0.007776	1.3
54	-0.211675	3.520940	1.608773	0.006316	1.3
55	-0.205453	3.609085	1.603010	0.017076	1.2
56	-0.215268	3.025679	1.641935	0.021823	1.2
57	-0.224753	2.048326	1.711561	0.032060	1.4
58	-0.186647	3.047840	1.640422	0.003432	1.4
59	-0.216239	3.870167	1.586182	0.016833	1.3
60	-0.195593	4.509688	1.546417	0.014705	1.4
61	-0.239962	5.507406	1.488211	0.018106	1.4
62	-0.197312	6.497480	1.434627	0.006312	1.3
63	-0.218464	6.345604	1.442594	0.017689	1.5
64	-0.170857	5.494494	1.488936	0.004640	1.3
65	-0.227514	4.692184	1.535433	0.010741	1.3
66	-0.229377	4.092380	1.572135	0.020828	1.6
67	-0.228200	3.143716	1.633908	0.015789	1.5
68	-0.218282	3.113683	1.635943	0.032719	1.4
69	-0.212607	2.144516	1.704448	0.017661	1.6
70	-0.228233	1.167112	1.779601	0.014471	1.6
71	-0.192187	0.193938	1.861316	0.025822	2.0
72	-0.235735	0.000000	1.878505	0.032062	1.7
73	-0.201001	0.000000	1.878505	0.012841	1.4
74	-0.208168	0.999580	1.793153	0.009821	1.4
75	-0.208331	0.334369	1.849064	0.014120	1.5
76	-0.226485	0.000000	1.878505	0.022492	1.3
77	-0.211087	0.000000	1.878505	0.023580	1.7
78	-0.186496	0.998330	1.793255	0.003996	1.3
79	-0.195792	0.192243	1.861465	0.007761	1.4
80	-0.207048	0.600849	1.826253	0.011936	1.5
81	-0.236173	0.596687	1.826605	0.012197	1.7
82	-0.200083	1.226563	1.774841	0.015807	1.5
83	-0.187483	2.191851	1.700969	0.018322	1.4
84	-0.177356	1.791866	1.730820	0.016814	1.7
85	-0.188017	2.783499	1.658655	0.015389	1.4
86	-0.197742	2.903870	1.650302	0.010150	1.4
87	-0.204447	3.871628	1.586089	0.003955	1.6
88	-0.220851	3.510482	1.609459	0.010304	1.5
89	-0.230564	3.716071	1.596071	0.028136	2.0
90	-0.221849	4.711081	1.534304	0.013466	2.0
91	-0.191803	5.711004	1.476868	0.020420	1.5
92	-0.240542	6.706191	1.423819	0.024375	1.5
93	-0.214406	5.729469	1.475847	0.010196	1.5
94	-0.214489	6.715201	1.423357	0.004218	1.5
95	-0.183079	7.208908	1.398445	0.022024	1.7
96	-0.222400	6.817733	1.418110	0.026975	1.4
97	-0.224136	5.845284	1.469480	0.013306	1.6
98	-0.194603	6.845095	1.416717	0.006819	1.5
99	-0.206348	6.147118	1.453142	0.008937	1.5
100	-0.208691	6.534808	1.432682	0.014820	1.5
101	-0.203085	5.827166	1.470473	0.030049	1.5
102	-0.200547	4.850072	1.526054	0.002933	1.5
103	-0.220368	4.086795	1.572485	0.031281	1.5
104	-0.227638	4.896538	1.523316	0.005391	1.6
105	-0.216816	4.976243	1.518642	0.012095	1.5
106	-0.185091	5.568770	1.484774	0.009124	1.7
107	-0.197119	6.487828	1.435130	0.010719	2.2
108	-0.234503	5.652476	1.480111	0.009949	1.7
109	-0.231306	5.021391	1.516007	0.023485	1.8
110	-0.217536	4.046333	1.575026	0.022132	1.6
111	-0.198539	3.069081	1.638975	0.020865	1.8
112	-0.223471	4.069066	1.573597	0.008551	6.3
113	-0.230865	4.037555	1.575578	0.007175	1.6
114	-0.227971	3.438260	1.614215	0.007270	1.5
115	-0.214764	3.901679	1.584175	0.005177	1.9
116	-0.213496	3.711019	1.596398	0.012407	1.6
117	-0.195121	3.955258	1.580774	0.003740	1.5
118	-0.210198	3.391896	1.617284	0.025156	1.5
119	-0.213819	2.917869	1.649337	0.015359	1.3
120	-0.208813	1.940510	1.719605	0.020140	1.3
121	-0.208901	1.017595	1.791686	0.013538	1.3
122	-0.228000	0.041144	1.874832	0.020711	1.4
123	-0.246734	0.842738	1.806029	0.023943	1.8
124	-0.244079	1.841105	1.727089	0.020901	1.7
125	-0.208522	0.863910	1.804280	0.009918	1.3
126	-0.193465	1.855992	1.725964	0.013230	1.3
127	-0.206022	2.776633	1.659134	0.007769	1.5
128	-0.212953	2.210057	1.699635	0.019833	1.5
129	-0.170650	1.289095	1.769862	0.011921	1.2
130	-0.222039	2.241205	1.697357	0.019931	1.2
131	-0.225226	1.323768	1.767113	0.015036	1.2
132	-0.233388	0.359375	1.846899	0.016308	1.5
133	-0.195432	1.353395	1.764771	0.013807	1.4
134	-0.201073	0.547296	1.830792	0.011444	1.9
135	-0.213384	0.772334	1.811869	0.036729	1.5
136	-0.198596	0.000000	1.878505	0.024588	1.5
137	-0.174974	1.000000	1.793119	0.006809	1.4
138	-0.200134	0.627447	1.824007	0.002731	1.3
139	-0.232506	0.512155	1.833783	0.012204	1.3
140	-0.215427	0.890346	1.802101	0.013338	1.3
141	-0.202688	1.821884	1.728543	0.016363	1.3
142	-0.205867	0.848251	1.805573	0.030719	1.4
143	-0.201952	0.000000	1.878505	0.030009	2.3
144	-0.198499	0.000000	1.878505	0.032599	2.0
145	-0.200408	0.999338	1.793173	0.020963	1.6
146	-0.250462	0.021932	1.876546	0.006111	1.8
147	-0.216392	0.000000	1.878505	0.013223	1.9
148	-0.231019	0.000000	1.878505	0.016254	1.4
149	-0.226485	0.672160	1.820244	0.016640	1.3
150	-0.243648	0.000000	1.878505	0.019512	1.2
151	-0.231304	0.919215	1.799727	0.027997	1.3
152	-0.215043	0.208065	1.860076	0.034815	1.4
153	-0.197848	0.000000	1.878505	0.018770	1.3
154	-0.218330	1.000000	1.793119	0.021626	1.4
155	-0.224671	1.998994	1.715232	0.009196	1.7
156	-0.187673	2.984016	1.644788	0.009408	1.5
